timestamp,cpu_energy_kwh,gpu_energy_kwh,total_energy_kwh,tasks_scheduled,sla_violations,avg_sla_slack,cluster_cpu_util,cluster_gpu_util
10101656.0,3367.218667,6734.437333,10101.656000,1,0,0.00,0.0047,0.0125
10101831.0,3367.277554,6734.565400,10101.842954,2,0,0.00,0.0172,0.0125
10102468.0,3367.498403,6735.037842,10102.536245,3,0,0.00,0.0219,0.0250
10102699.0,3367.579278,6735.225367,10102.804645,4,0,0.00,0.0219,0.0250
10103062.0,3367.705835,6735.509067,10103.214901,5,0,0.00,0.0297,0.0250
10103067.0,3367.707617,6735.513150,10103.220767,6,0,0.00,0.0422,0.0375
10103070.0,3367.708715,6735.515825,10103.224540,7,0,0.00,0.0547,0.0500
10103080.0,3367.712474,6735.525492,10103.237966,8,0,0.00,0.0672,0.0625
10103554.0,3367.895244,6736.019242,10103.914485,9,0,0.00,0.0859,0.0750
10103657.0,3367.936462,6736.134258,10104.070720,10,0,0.00,0.0922,0.0875
10103830.0,3368.006533,6736.340417,10104.346949,11,0,0.00,0.0859,0.0875
10104296.0,3368.188580,6736.846383,10105.034964,12,0,0.00,0.0859,0.0625
10104920.0,3368.431799,6737.496383,10105.928182,13,0,0.00,0.0797,0.0750
10105081.0,3368.495444,6737.676167,10106.171611,14,0,0.00,0.0969,0.0875
10105616.0,3368.707591,6738.277258,10106.984850,15,0,0.00,0.0844,0.0875
10106099.0,3368.899311,6738.832733,10107.732045,16,0,0.00,0.0844,0.0875
10106214.0,3368.945191,6738.969775,10107.914966,17,0,0.00,0.0891,0.1000
10106404.0,3369.021150,6739.199417,10108.220567,18,0,0.00,0.0844,0.0875
10106593.0,3369.096524,6739.424042,10108.520566,19,0,0.00,0.0922,0.0750
10106755.0,3369.162140,6739.604942,10108.767082,20,0,0.00,0.0969,0.0875
10107108.0,3369.305755,6740.012250,10109.318005,21,0,0.00,0.0969,0.0875
10107156.0,3369.325372,6740.069450,10109.394822,22,0,0.00,0.1016,0.1000
10107360.0,3369.409472,6740.327550,10109.737022,23,0,0.00,0.1031,0.1000
10107678.0,3369.536986,6740.681075,10110.218061,24,0,0.00,0.0797,0.0750
10107700.0,3369.545683,6740.705642,10110.251324,25,0,0.00,0.0859,0.0875
10108119.0,3369.712349,6741.184250,10110.896599,26,0,0.00,0.0938,0.0875
10108195.0,3369.743224,6741.274817,10111.018041,27,0,0.00,0.1219,0.1000
10108262.0,3369.771909,6741.359683,10111.131592,28,0,0.00,0.1266,0.1125
10119674.0,3374.072725,6752.219083,10126.291809,29,0,0.00,0.0438,0.0250
10119716.0,3374.088154,6752.253383,10126.341538,30,0,0.00,0.0625,0.0250
10119805.0,3374.122147,6752.326067,10126.448214,31,0,0.00,0.0813,0.0250
10119881.0,3374.152284,6752.388133,10126.540417,32,0,0.00,0.0938,0.0375
10121149.0,3374.622579,6753.518767,10128.141346,33,0,0.00,0.0438,0.0500
10121200.0,3374.641315,6753.568067,10128.209381,34,0,0.00,0.0563,0.0625
10122873.0,3375.267003,6755.241625,10130.508628,35,0,0.00,0.0469,0.0500
10122912.0,3375.281425,6755.279325,10130.560750,36,0,0.00,0.0641,0.0625
10122958.0,3375.299050,6755.327242,10130.626292,37,0,0.00,0.0688,0.0750
10122966.0,3375.302145,6755.336175,10130.638320,38,0,0.00,0.0859,0.0875
10123048.0,3375.334959,6755.433892,10130.768851,39,0,0.00,0.1031,0.1000
10123058.0,3375.339094,6755.446558,10130.785653,40,0,0.00,0.1203,0.1125
10123064.0,3375.341656,6755.454608,10130.796264,41,0,0.00,0.1375,0.1250
10191770.0,3398.776945,6808.516058,10207.293003,42,0,0.00,0.0172,0.0250
10192232.0,3398.933573,6808.865983,10207.799556,43,0,0.00,0.0172,0.0250
10192336.0,3398.969630,6808.950917,10207.920546,44,0,0.00,0.0297,0.0375
10192477.0,3399.019885,6809.076642,10208.096527,45,0,0.00,0.0344,0.0500
10192642.0,3399.079297,6809.236142,10208.315438,46,0,0.00,0.0531,0.0500
10192889.0,3399.169516,6809.447683,10208.617199,47,0,0.00,0.0406,0.0250
10192901.0,3399.173895,6809.457483,10208.631378,48,0,0.00,0.0578,0.0375
10192962.0,3399.196971,6809.511875,10208.708846,49,0,0.00,0.0703,0.0500
