timestamp,cpu_energy_kwh,gpu_energy_kwh,total_energy_kwh,tasks_scheduled,sla_violations,avg_sla_slack,cluster_cpu_util,cluster_gpu_util,active_hosts,idle_hosts,suspended_hosts,total_wakeups,wake_energy_kwh,h0_cpu_util,h0_state,h1_cpu_util,h1_state,h2_cpu_util,h2_state,h3_cpu_util,h3_state,h4_cpu_util,h4_state,h5_cpu_util,h5_state,h6_cpu_util,h6_state,h7_cpu_util,h7_state,h8_cpu_util,h8_state,h9_cpu_util,h9_state
10101656.0,280.611222,0.020000,280.631222,1,0,0.00,0.0047,0.0125,1,0,9,1,0.000500,0.0469,2,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
10101831.0,280.622003,0.043442,280.665445,2,0,0.00,0.0172,0.0125,1,0,9,1,0.000500,0.1719,2,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
10102468.0,280.667677,0.133683,280.801360,3,0,0.00,0.0219,0.0250,1,0,9,1,0.000500,0.2188,2,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
10102699.0,280.685027,0.182608,280.867636,4,0,0.00,0.0219,0.0250,1,0,9,1,0.000500,0.2188,2,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
10103062.0,280.711759,0.248508,280.960267,5,0,0.00,0.0297,0.0250,1,0,9,1,0.000500,0.2969,2,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
10103067.0,280.712166,0.249592,280.961757,6,0,0.00,0.0422,0.0375,1,0,9,1,0.000500,0.4219,2,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
10103070.0,280.712439,0.250467,280.962906,7,0,0.00,0.0547,0.0500,1,0,9,1,0.000500,0.5469,2,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
10103080.0,280.713448,0.254133,280.967581,8,0,0.00,0.0672,0.0625,1,0,9,1,0.000500,0.6719,2,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
10103554.0,280.765868,0.463483,281.229351,9,0,0.00,0.0859,0.0750,1,0,9,1,0.000500,0.8594,2,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
10103657.0,280.778760,0.516700,281.295460,10,0,0.00,0.0922,0.0875,1,0,9,1,0.000500,0.9219,2,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
