timestamp,cpu_energy_kwh,gpu_energy_kwh,total_energy_kwh,tasks_scheduled,sla_violations,avg_sla_slack,cluster_cpu_util,cluster_gpu_util
10101656.0,3404.047621,7492.061533,10896.109154,1,0,0.00,0.0469,0.0125
10101831.0,3404.108932,7492.204450,10896.313382,2,0,0.00,0.2188,0.0250
10102468.0,3404.334425,7492.772442,10897.106867,3,0,0.00,0.2656,0.0375
10102699.0,3404.417040,7492.995742,10897.412781,4,0,0.00,0.3125,0.0500
10103062.0,3404.550392,7493.373867,10897.924259,5,0,0.00,0.4375,0.0625
10103067.0,3404.552277,7493.379450,10897.931727,6,0,0.00,0.5625,0.0750
10103070.0,3404.553438,7493.383025,10897.936463,7,0,0.00,0.6875,0.0875
10103080.0,3404.557403,7493.395692,10897.953095,8,0,0.00,0.8125,0.1000
10103554.0,3404.752270,7494.031642,10898.783911,9,0,0.00,0.5000,0.1125
10103657.0,3404.795115,7494.177558,10898.972673,10,0,0.00,0.5313,0.1250
10103830.0,3404.868760,7494.435617,10899.304377,11,0,0.00,0.5938,0.1375
10104296.0,3405.073929,7495.130733,10900.204663,12,0,0.00,0.6875,0.1375
10104920.0,3405.354729,7496.108333,10901.463063,13,0,0.00,0.7500,0.1500
10105081.0,3405.429332,7496.372642,10901.801973,14,0,0.00,0.8359,0.1625
10105616.0,3405.679184,7497.291058,10902.970242,15,0,0.00,0.8594,0.1750
10106099.0,3405.906513,7498.156433,10904.062946,16,0,0.00,0.8828,0.1875
10106214.0,3405.961058,7498.371100,10904.332158,17,0,0.00,0.9063,0.2000
10106404.0,3406.051869,7498.740017,10904.791885,18,0,0.00,0.6198,0.2125
10106593.0,3406.142201,7499.106992,10905.249193,19,0,0.00,0.6615,0.2125
10106755.0,3406.220220,7499.433692,10905.653912,20,0,0.00,0.6771,0.2250
10107108.0,3406.391511,7500.172050,10906.563561,21,0,0.00,0.6927,0.2375
10107156.0,3406.414978,7500.276050,10906.691028,22,0,0.00,0.7083,0.2500
10107360.0,3406.515703,7500.733350,10907.249053,23,0,0.00,0.7292,0.2625
10107678.0,3406.673874,7501.470050,10908.143924,24,0,0.00,0.7448,0.2750
10107700.0,3406.684924,7501.522667,10908.207591,25,0,0.00,0.7656,0.2875
10108119.0,3406.899443,7502.556200,10909.455643,26,0,0.00,0.8073,0.3000
10108195.0,3406.940016,7502.749367,10909.689383,27,0,0.00,0.6758,0.3125
10108262.0,3406.976029,7502.924683,10909.900712,28,0,0.00,0.6875,0.3250
10119674.0,3413.109979,7532.786083,10945.896062,29,0,0.00,0.7344,0.3250
10119716.0,3413.132554,7532.895983,10946.028537,30,0,0.00,0.7813,0.3250
10119805.0,3413.180391,7533.128867,10946.309258,31,0,0.00,0.8281,0.3250
10119881.0,3413.221980,7533.333433,10946.555414,32,0,0.00,0.8594,0.3375
10121149.0,3413.922022,7536.841567,10950.763589,33,0,0.00,0.8750,0.3500
10121200.0,3413.950674,7536.986492,10950.937166,34,0,0.00,0.9063,0.3625
10122873.0,3414.902774,7541.866075,10956.768849,35,0,0.00,0.9297,0.3750
10122912.0,3414.925490,7541.982750,10956.908240,36,0,0.00,0.9727,0.3875
10122958.0,3414.952451,7542.123817,10957.076268,37,0,0.00,0.9844,0.4000
10122966.0,3414.957247,7542.148950,10957.106197,38,0,0.00,0.8219,0.4125
10123048.0,3415.007500,7542.412717,10957.420217,39,0,0.00,0.8563,0.4250
10123058.0,3415.013762,7542.445633,10957.459396,40,0,0.00,0.8906,0.4375
10123064.0,3415.017600,7542.465833,10957.483433,41,0,0.00,0.9250,0.4500
10191770.0,3459.628787,7778.928983,11238.557771,42,0,0.00,0.9500,0.4625
10192232.0,3459.933258,7780.553683,11240.486941,43,0,0.00,0.9750,0.4750
10192336.0,3460.002303,7780.927217,11240.929519,44,0,0.00,1.0000,0.4875
10192477.0,3460.095911,7781.444217,11241.540128,45,0,0.00,1.0094,0.5000
10192642.0,3460.205453,7782.049217,11242.254669,46,0,0.00,1.0469,0.5000
10192889.0,3460.372735,7782.973408,11243.346143,47,0,0.00,0.9010,0.5125
10192901.0,3460.381023,7783.019208,11243.400231,48,0,0.00,0.9297,0.5250
10192962.0,3460.423744,7783.256600,11243.680344,49,0,0.00,0.9505,0.5375
10193027.0,3460.469582,7783.514433,11243.984016,50,0,0.00,0.9609,0.5500
10193066.0,3460.497085,7783.669133,11244.166219,51,0,0.00,0.9922,0.5500
10193568.0,3460.862081,7785.698050,11246.560131,52,0,0.00,1.0391,0.5625
10194497.0,3461.542058,7789.522433,11251.064491,53,0,0.00,1.0495,0.5750
10195056.0,3461.956649,7791.865575,11253.822224,54,0,0.00,1.0807,0.5875
10195438.0,3462.247858,7793.524092,11255.771950,55,0,0.00,0.9643,0.6125
10195440.0,3462.249383,7793.532775,11255.782158,56,0,0.00,0.9911,0.6125
10195608.0,3462.377453,7794.262175,11256.639628,57,0,0.00,1.0179,0.6125
10195689.0,3462.439202,7794.613850,11257.053052,58,0,0.00,1.0446,0.6125
10196373.0,3462.960633,7797.634850,11260.595483,59,0,0.00,1.0714,0.6250
10196386.0,3462.970717,7797.693242,11260.663959,60,0,0.00,1.0960,0.6375
10196392.0,3462.975452,7797.720642,11260.696093,61,0,0.00,1.1205,0.6500
10196397.0,3462.979464,7797.743850,11260.723314,62,0,0.00,1.1451,0.6625
10196546.0,3463.101018,7798.446633,11261.547651,63,0,0.00,1.1696,0.6750
10196555.0,3463.108393,7798.489758,11261.598151,64,0,0.00,1.1964,0.6875
10196738.0,3463.258351,7799.380358,11262.638709,65,0,0.00,1.2232,0.7000
10196789.0,3463.300329,7799.632383,11262.932712,66,0,0.00,1.0762,0.7125
10196808.0,3463.316175,7799.727700,11263.043875,67,0,0.00,1.0938,0.7250
