timestamp,cpu_energy_kwh,gpu_energy_kwh,total_energy_kwh,tasks_scheduled,sla_violations,avg_sla_slack,cluster_cpu_util,cluster_gpu_util
10101656.0,3404.047621,7492.061533,10896.109154,1,0,0.00,0.0469,0.0125
10101831.0,3404.108932,7492.204450,10896.313382,2,0,0.00,0.1094,0.0250
10102468.0,3404.334425,7492.772442,10897.106867,3,0,0.00,0.0885,0.0375
10102699.0,3404.417040,7492.995742,10897.412781,4,0,0.00,0.0781,0.0500
10103062.0,3404.550392,7493.373867,10897.924259,5,0,0.00,0.1094,0.0625
10103067.0,3404.552277,7493.379450,10897.931727,6,0,0.00,0.1125,0.0750
10103070.0,3404.553438,7493.383025,10897.936463,7,0,0.00,0.1375,0.0875
10103080.0,3404.557403,7493.395692,10897.953095,8,0,0.00,0.1625,0.1000
10103554.0,3404.752270,7494.031642,10898.783911,9,0,0.00,0.1667,0.1125
10103657.0,3404.795115,7494.177558,10898.972673,10,0,0.00,0.1771,0.1250
10103830.0,3404.868760,7494.435617,10899.304377,11,0,0.00,0.1696,0.1375
10104296.0,3405.073929,7495.130733,10900.204663,12,0,0.00,0.1964,0.1375
10104920.0,3405.354729,7496.108333,10901.463063,13,0,0.00,0.1875,0.1500
10105081.0,3405.429332,7496.372642,10901.801973,14,0,0.00,0.2090,0.1625
10105616.0,3405.679184,7497.291058,10902.970242,15,0,0.00,0.2148,0.1750
10106099.0,3405.906513,7498.156433,10904.062946,16,0,0.00,0.2207,0.1875
10106214.0,3405.961058,7498.371100,10904.332158,17,0,0.00,0.2266,0.2000
10106404.0,3406.051869,7498.740017,10904.791885,18,0,0.00,0.2324,0.2125
10106593.0,3406.144039,7499.106992,10905.251031,19,0,0.00,0.2480,0.2125
10106755.0,3406.223633,7499.433692,10905.657324,20,0,0.00,0.2539,0.2250
10107108.0,3406.398355,7500.172050,10906.570405,21,0,0.00,0.2598,0.2375
10107156.0,3406.422289,7500.276050,10906.698339,22,0,0.00,0.2656,0.2500
10107360.0,3406.524997,7500.733350,10907.258347,23,0,0.00,0.2734,0.2625
10107678.0,3406.686261,7501.470050,10908.156311,24,0,0.00,0.2793,0.2750
10107700.0,3406.697524,7501.522667,10908.220191,25,0,0.00,0.2871,0.2875
10108119.0,3406.916117,7502.556200,10909.472317,26,0,0.00,0.2691,0.3000
10108195.0,3406.957429,7502.749367,10909.706795,27,0,0.00,0.3003,0.3125
10108262.0,3406.994093,7502.924683,10909.918776,28,0,0.00,0.3056,0.3250
10119674.0,3413.405418,7532.786083,10946.191501,29,0,0.00,0.2938,0.3250
10119716.0,3413.429626,7532.895983,10946.325609,30,0,0.00,0.3125,0.3250
10119805.0,3413.482223,7533.128867,10946.611089,31,0,0.00,0.3313,0.3250
10119881.0,3413.527875,7533.333433,10946.861309,32,0,0.00,0.3438,0.3375
10121149.0,3414.295720,7536.841567,10951.137286,33,0,0.00,0.3500,0.3500
10121200.0,3414.327099,7536.986492,10951.313591,34,0,0.00,0.3625,0.3625
10122873.0,3415.368658,7541.866075,10957.234733,35,0,0.00,0.3719,0.3750
10122912.0,3415.393459,7541.982750,10957.376209,36,0,0.00,0.3891,0.3875
10122958.0,3415.422880,7542.123817,10957.546697,37,0,0.00,0.3938,0.4000
10122966.0,3415.428104,7542.148950,10957.577054,38,0,0.00,0.4109,0.4125
10123048.0,3415.482742,7542.412717,10957.895459,39,0,0.00,0.4281,0.4250
10123058.0,3415.489539,7542.445633,10957.935172,40,0,0.00,0.4453,0.4375
10123064.0,3415.493697,7542.465833,10957.959530,41,0,0.00,0.4625,0.4500
10191770.0,3463.778747,7778.928983,11242.707730,42,0,0.00,0.4750,0.4625
10192232.0,3464.107922,7780.553683,11244.661605,43,0,0.00,0.4875,0.4750
10192336.0,3464.183033,7780.927217,11245.110250,44,0,0.00,0.5000,0.4875
10192477.0,3464.285381,7781.444217,11245.729597,45,0,0.00,0.5047,0.5000
10192642.0,3464.407555,7782.049217,11246.456772,46,0,0.00,0.5234,0.5000
10192889.0,3464.593748,7782.973408,11247.567157,47,0,0.00,0.5406,0.5125
10192901.0,3464.602955,7783.019208,11247.622163,48,0,0.00,0.5578,0.5250
10192962.0,3464.650346,7783.256600,11247.906946,49,0,0.00,0.5703,0.5375
10193027.0,3464.701161,7783.514433,11248.215595,50,0,0.00,0.5766,0.5500
10193066.0,3464.731698,7783.669133,11248.400831,51,0,0.00,0.5953,0.5500
10193568.0,3465.135738,7785.698050,11250.833788,52,0,0.00,0.6234,0.5625
10194497.0,3465.887970,7789.522433,11255.410403,53,0,0.00,0.6297,0.5750
10195056.0,3466.348757,7791.865575,11258.214332,54,0,0.00,0.6484,0.5875
10195438.0,3466.671534,7793.524092,11260.195625,55,0,0.00,0.6750,0.6125
