timestamp,cpu_energy_kwh,gpu_energy_kwh,total_energy_kwh,tasks_scheduled,sla_violations,avg_sla_slack,cluster_cpu_util,cluster_gpu_util
0.0,0.000000,0.000000,0.000000,1,0,0.00,0.0188,0.0125
427061.0,148.581640,316.736908,465.318548,2,0,0.00,0.0281,0.0250
1558381.0,550.435931,1240.648242,1791.084173,3,0,0.00,0.0469,0.0375
2690044.0,968.915478,2249.714417,3218.629895,4,0,0.00,0.0563,0.0500
2758084.0,994.572228,2315.486417,3310.058645,5,1,0.00,0.0750,0.0625
2759674.0,995.194978,2317.142667,3312.337645,6,1,0.00,0.1063,0.0625
3019330.0,1103.204661,2587.617667,3690.822328,7,2,0.00,0.1125,0.0750
3019932.0,1103.458003,2588.289900,3691.747903,8,3,0.00,0.1313,0.0875
4130198.0,1586.886324,3911.356883,5498.243207,9,3,0.00,0.1500,0.1000
4975773.0,1967.395074,4982.418550,6949.813624,10,3,0.00,0.1688,0.1125
5182092.0,2063.247443,5259.229875,7322.477318,11,3,0.00,0.1938,0.1250
6394537.0,2650.104502,6976.860292,9626.964793,12,4,0.00,0.2031,0.1375
6588193.0,2745.251460,7265.730492,10010.981952,13,4,0.00,0.2156,0.1500
6976821.0,2939.970281,7874.581025,10814.551306,14,5,0.00,0.2281,0.1625
8387257.0,3660.370057,10190.046792,13850.416849,15,6,0.00,0.2531,0.1750
8396307.0,3665.168443,10205.582625,13870.751068,16,7,0.00,0.2781,0.1875
8962274.0,3976.253776,11219.606833,15195.860610,17,7,0.00,0.3281,0.1875
9437497.0,4255.942313,12071.048042,16326.990355,18,7,0.00,0.3281,0.1875
9476974.0,4279.176172,12141.777667,16420.953839,19,8,0.00,0.3375,0.2000
9664050.0,4390.642289,12490.986200,16881.628489,20,9,0.00,0.3500,0.2125
9664123.0,4390.686494,12491.127942,16881.814436,21,10,0.00,0.3625,0.2250
9671707.0,4395.352761,12506.422342,16901.775103,22,11,0.00,0.3750,0.2375
9679175.0,4400.020261,12522.042908,16922.063169,23,11,0.00,0.3813,0.2500
9766837.0,4455.235146,12711.977242,17167.212388,24,12,0.00,0.4000,0.2625
9818766.0,4488.700501,12828.384750,17317.085251,25,13,0.00,0.4250,0.2750
9823530.0,4491.863268,12839.421350,17331.284618,26,14,0.00,0.4313,0.2875
9924220.0,4559.199706,13080.238267,17639.437972,27,15,0.00,0.4563,0.3000
9941376.0,4571.006369,13122.556400,17693.562769,28,15,0.00,0.4578,0.3125
9949982.0,4576.939430,13144.429983,17721.369413,29,16,0.00,0.4828,0.3250
9955274.0,4580.690686,13158.277383,17738.968069,30,16,0.00,0.4891,0.3375
9957349.0,4582.171645,13163.862592,17746.034237,31,17,0.00,0.5141,0.3500
9961302.0,4585.069825,13174.799225,17759.869050,32,18,0.00,0.5391,0.3625
9963454.0,4586.689430,13180.914492,17767.603921,33,18,0.00,0.5484,0.3750
9965463.0,4588.206474,13186.737100,17774.943574,34,18,0.00,0.5281,0.3750
9965619.0,4588.322553,13187.192100,17775.514653,35,19,0.00,0.5531,0.3875
9967058.0,4589.410577,13191.369683,17780.780260,36,20,0.00,0.5484,0.3750
9967204.0,4589.521522,13191.795517,17781.317039,37,20,0.00,0.5531,0.3875
9970479.0,4591.912579,13200.983325,17792.895904,38,21,0.00,0.5234,0.3625
9973579.0,4594.167731,13209.556392,17803.724123,39,21,0.00,0.5031,0.3500
9973948.0,4594.434535,13210.568142,17805.002677,40,21,0.00,0.5031,0.3500
9974338.0,4594.715322,13211.618942,17806.334263,41,21,0.00,0.5094,0.3500
9976185.0,4596.062734,13216.728975,17812.791709,42,21,0.00,0.5141,0.3625
9977555.0,4597.063305,13220.542708,17817.606014,43,21,0.00,0.5141,0.3625
9980855.0,4599.411339,13229.336033,17828.747372,44,22,0.00,0.4844,0.3375
9983856.0,4601.504472,13237.024400,17838.528872,45,22,0.00,0.4703,0.3250
9985207.0,4602.445316,13240.483767,17842.929083,46,22,0.00,0.4703,0.3250
9989432.0,4605.385149,13251.251183,17856.636332,47,22,0.00,0.4703,0.3250
9989615.0,4605.513090,13251.730033,17857.243123,48,22,0.00,0.4750,0.3375
9992086.0,4607.233022,13258.038992,17865.272013,49,22,0.00,0.4781,0.3125
9992086.0,4607.233022,13258.038992,17865.272013,50,22,0.00,0.4906,0.3125
9992104.0,4607.245890,13258.084742,17865.330632,51,22,0.00,0.5031,0.3125
9993395.0,4608.181417,13261.366033,17869.547451,52,22,0.00,0.5094,0.3250
9993396.0,4608.182147,13261.368650,17869.550797,53,22,0.00,0.5156,0.3375
9993753.0,4608.444319,13262.329575,17870.773894,54,23,0.00,0.5344,0.3500
9997763.0,4611.374613,13273.063983,17884.438596,55,24,0.00,0.5031,0.3250
9999611.0,4612.713771,13277.899583,17890.613355,56,24,0.00,0.5078,0.3375
9999740.0,4612.807722,13278.246808,17891.054530,57,25,0.00,0.5266,0.3500
9999867.0,4612.901893,13278.597275,17891.499168,58,25,0.00,0.5125,0.3500
10000483.0,4613.349103,13280.226092,17893.575195,59,26,0.00,0.5156,0.3375
10000836.0,4613.608337,13281.176250,17894.784587,60,26,0.00,0.5328,0.3500
10000884.0,4613.644229,13281.309050,17894.953279,61,26,0.00,0.5453,0.3500
10001573.0,4614.165768,13283.209808,17897.375576,62,26,0.00,0.5438,0.3500
10001854.0,4614.378274,13283.987242,17898.365516,63,27,0.00,0.5625,0.3625
10002519.0,4614.888608,13285.858200,17900.746808,64,28,0.00,0.5656,0.3500
