timestamp,cpu_energy_kwh,gpu_energy_kwh,total_energy_kwh,tasks_scheduled,sla_violations,avg_sla_slack,cluster_cpu_util,cluster_gpu_util,active_hosts,idle_hosts,suspended_hosts,total_wakeups,wake_energy_kwh,h0_cpu_util,h0_state,h1_cpu_util,h1_state,h2_cpu_util,h2_state,h3_cpu_util,h3_state,h4_cpu_util,h4_state,h5_cpu_util,h5_state,h6_cpu_util,h6_state,h7_cpu_util,h7_state,h8_cpu_util,h8_state,h9_cpu_util,h9_state
0.0,0.000000,0.000000,0.000000,1,0,0.00,0.0188,0.0125,1,9,0,0,0.000000,0.1875,2,0.0000,1,0.0000,1,0.0000,1,0.0000,1,0.0000,1,0.0000,1,0.0000,1,0.0000,1,0.0000,1
427061.0,31.148115,60.518308,91.666423,2,1,0.00,0.0281,0.0250,1,0,9,0,0.000000,0.2813,2,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
1558381.0,121.889406,305.637642,427.527048,3,2,0.00,0.0469,0.0375,1,0,9,0,0.000000,0.4688,2,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
2690044.0,229.161628,635.706017,864.867645,4,3,0.00,0.0563,0.0500,1,0,9,0,0.000000,0.5625,2,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
2758084.0,236.107378,660.654017,896.761395,5,4,0.00,0.0750,0.0625,1,0,9,0,0.000000,0.7500,2,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
2759674.0,236.293378,661.356267,897.649645,6,4,0.00,0.1063,0.0625,2,0,8,1,0.000500,0.7500,2,0.3125,2,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
3019330.0,280.831595,793.348067,1074.179661,7,5,0.00,0.1125,0.0750,2,0,8,1,0.000500,0.8125,2,0.3125,2,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
3019932.0,280.937781,793.699233,1074.637014,8,6,0.00,0.1313,0.0875,2,0,8,1,0.000500,1.0000,2,0.3125,2,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
4130198.0,492.967746,1524.624350,2017.592096,9,7,0.00,0.1500,0.1000,2,0,8,1,0.000500,1.0000,2,0.5000,2,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
4975773.0,666.780385,2144.712683,2811.493068,10,8,0.00,0.1688,0.1125,2,0,8,1,0.000500,1.0000,2,0.6875,2,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
