timestamp,cpu_energy_kwh,gpu_energy_kwh,total_energy_kwh,tasks_scheduled,sla_violations,avg_sla_slack,cluster_cpu_util,cluster_gpu_util,active_hosts,idle_hosts,suspended_hosts,total_wakeups,wake_energy_kwh,h0_cpu_util,h0_state,h1_cpu_util,h1_state,h2_cpu_util,h2_state,h3_cpu_util,h3_state,h4_cpu_util,h4_state,h5_cpu_util,h5_state,h6_cpu_util,h6_state,h7_cpu_util,h7_state,h8_cpu_util,h8_state,h9_cpu_util,h9_state
0.0,0.000000,0.000000,0.000000,1,0,0.00,0.0188,0.0125,1,9,0,0,0.000000,0.1875,2,0.0000,1,0.0000,1,0.0000,1,0.0000,1,0.0000,1,0.0000,1,0.0000,1,0.0000,1,0.0000,1
427061.0,31.148615,60.518308,91.666923,2,0,0.00,0.0281,0.0250,2,0,8,1,0.000500,0.1875,2,0.0000,0,0.0000,0,0.0938,2,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
1558381.0,156.458517,381.058975,537.517492,3,0,0.00,0.0469,0.0375,3,0,7,2,0.001000,0.1875,2,0.0000,0,0.0000,0,0.0938,2,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.1875,2,0.0000,0
2690044.0,332.888423,862.015750,1194.904173,4,0,0.00,0.0563,0.0500,4,0,6,3,0.001500,0.1875,2,0.0000,0,0.0000,0,0.0938,2,0.0938,2,0.0000,0,0.0000,0,0.0000,0,0.1875,2,0.0000,0
2758084.0,346.071173,900.571750,1246.642923,5,1,0.00,0.0750,0.0625,4,0,6,3,0.001500,0.3750,2,0.0000,0,0.0000,0,0.0938,2,0.0938,2,0.0000,0,0.0000,0,0.0000,0,0.1875,2,0.0000,0
2759674.0,346.402923,901.592000,1247.994923,6,1,0.00,0.1063,0.0625,5,0,5,4,0.002000,0.3750,2,0.0000,0,0.0000,0,0.0938,2,0.0938,2,0.3125,2,0.0000,0,0.0000,0,0.1875,2,0.0000,0
3019330.0,414.742939,1085.515000,1500.257939,7,2,0.00,0.1125,0.0750,5,0,5,4,0.002000,0.3750,2,0.0000,0,0.0000,0,0.0938,2,0.0938,2,0.3750,2,0.0000,0,0.0000,0,0.1875,2,0.0000,0
3019932.0,414.904309,1085.986567,1500.890875,8,3,0.00,0.1313,0.0875,5,0,5,4,0.002000,0.3750,2,0.0000,0,0.0000,0,0.0938,2,0.0938,2,0.3750,2,0.0000,0,0.0000,0,0.3750,2,0.0000,0
4130198.0,728.709157,2038.964883,2767.674041,9,3,0.00,0.1500,0.1000,6,0,4,5,0.002500,0.3750,2,0.0000,0,0.0000,0,0.0938,2,0.0938,2,0.3750,2,0.0000,0,0.0000,0,0.3750,2,0.1875,2
4975773.0,1005.869852,2884.539883,3890.409735,10,3,0.00,0.1688,0.1125,6,0,4,5,0.002500,0.3750,2,0.0000,0,0.0000,0,0.2813,2,0.0938,2,0.3750,2,0.0000,0,0.0000,0,0.3750,2,0.1875,2
