timestamp,cpu_energy_kwh,gpu_energy_kwh,total_energy_kwh,tasks_scheduled,sla_violations,avg_sla_slack,cluster_cpu_util,cluster_gpu_util
0.0,0.000000,0.000000,0.000000,1,0,0.00,0.1875,0.0125
427061.0,151.695626,348.766483,500.462109,2,0,0.00,0.1406,0.0250
1558381.0,570.048334,1357.526817,1927.575151,3,0,0.00,0.1563,0.0375
2690044.0,996.779591,2451.467717,3448.247307,4,0,0.00,0.1406,0.0500
2758084.0,1023.428591,2522.342717,3545.771307,5,0,0.00,0.1875,0.0625
2759674.0,1024.089986,2523.998967,3548.088953,6,0,0.00,0.2125,0.0625
3019330.0,1133.361886,2813.948167,3947.310053,7,0,0.00,0.2250,0.0750
3019932.0,1133.624007,2814.665550,3948.289557,8,0,0.00,0.2625,0.0875
4130198.0,1633.243707,4221.002483,5854.246191,9,0,0.00,0.2500,0.1000
4975773.0,2026.083759,5355.482275,7381.566034,10,0,0.00,0.2813,0.1125
5182092.0,2125.947886,5647.767525,7773.715411,11,0,0.00,0.2768,0.1250
6394537.0,2721.645690,7456.331317,10177.977007,12,0,0.00,0.2902,0.1375
6588193.0,2818.675415,7759.725717,10578.401132,13,0,0.00,0.2695,0.1500
6976821.0,3017.172564,8397.723350,11414.895914,14,0,0.00,0.2852,0.1625
8387257.0,3764.997485,10818.971817,14583.969301,15,0,0.00,0.3164,0.1750
8396307.0,3769.971842,10835.186400,14605.158242,16,0,0.00,0.3477,0.1875
8962274.0,4103.067004,11849.210608,15952.277612,17,0,0.00,0.4102,0.1875
9437497.0,4405.856658,12700.651817,17106.508475,18,0,0.00,0.5820,0.1875
9476974.0,4431.009539,12774.342217,17205.351755,19,0,0.00,0.5938,0.2000
9664050.0,4552.024326,13137.581450,17689.605776,20,0,0.00,0.6094,0.2125
9664123.0,4552.072258,13137.728667,17689.800924,21,0,0.00,0.6250,0.2250
9671707.0,4557.051891,13153.591867,17710.643758,22,0,0.00,0.6406,0.2375
9679175.0,4561.991662,13169.772533,17731.764195,23,0,0.00,0.6484,0.2500
9766837.0,4620.828692,13366.281517,17987.110208,24,0,0.00,0.6719,0.2625
9818766.0,4656.692157,13486.583700,18143.275857,25,0,0.00,0.7031,0.2750
9823530.0,4660.005453,13497.977600,18157.983053,26,0,0.00,0.7109,0.2875
9924220.0,4731.991811,13746.346267,18478.338077,27,0,0.00,0.6597,0.3000
9941376.0,4744.257159,13789.951100,18534.208259,28,0,0.00,0.6615,0.3125
9949982.0,4750.577191,13812.470133,18563.047324,29,0,0.00,0.6892,0.3250
9955274.0,4754.489228,13826.714433,18581.203661,30,0,0.00,0.6266,0.3375
9957349.0,4756.023143,13832.455267,18588.478410,31,0,0.00,0.6516,0.3500
9961302.0,4758.945343,13843.688375,18602.633718,32,0,0.00,0.6766,0.3625
9963454.0,4760.536180,13849.965042,18610.501221,33,0,0.00,0.6859,0.3750
9965463.0,4762.021305,13855.975300,18617.996605,34,0,0.00,0.6906,0.3875
9965619.0,4762.139659,13856.453700,18618.593359,35,0,0.00,0.7156,0.4000
9967058.0,4763.259381,13860.974558,18624.233939,36,0,0.00,0.7406,0.4125
9967204.0,4763.373519,13861.444192,18624.817711,37,0,0.00,0.7453,0.4250
9970479.0,4765.997499,13872.224400,18638.221899,38,0,0.00,0.7703,0.4375
9973579.0,4768.496336,13882.661067,18651.157403,39,0,0.00,0.7766,0.4500
9973948.0,4768.795572,13883.931042,18652.726614,40,0,0.00,0.7828,0.4625
9974338.0,4769.115630,13885.302542,18654.418171,41,0,0.00,0.7953,0.4750
9976185.0,4770.631388,13891.936350,18662.567738,42,0,0.00,0.8000,0.4875
9977555.0,4771.760687,13896.959683,18668.720370,43,0,0.00,0.8047,0.5000
9980855.0,4774.504957,13909.307183,18683.812141,44,0,0.00,0.8141,0.5125
9983856.0,4777.011522,13920.761000,18697.772522,45,0,0.00,0.8188,0.5250
9985207.0,4778.139935,13926.018642,18704.158577,46,0,0.00,0.8234,0.5375
9989432.0,4781.684241,13942.777808,18724.462049,47,0,0.00,0.8281,0.5500
9989615.0,4781.838425,13943.517433,18725.355858,48,0,0.00,0.8328,0.5625
9992086.0,4783.944352,13953.504392,18737.448743,49,0,0.00,0.8453,0.5625
9992086.0,4783.944352,13953.504392,18737.448743,50,0,0.00,0.8578,0.5625
9992104.0,4783.959998,13953.577142,18737.537140,51,0,0.00,0.8703,0.5625
9993395.0,4785.088503,13958.891758,18743.980261,52,0,0.00,0.8766,0.5750
9993396.0,4785.089377,13958.895950,18743.985327,53,0,0.00,0.8828,0.5875
9993753.0,4785.406648,13960.419150,18745.825798,54,0,0.00,0.9016,0.6000
9997763.0,4788.970397,13977.829233,18766.799630,55,0,0.00,0.9078,0.6125
9999611.0,4790.619480,13985.991233,18776.610713,56,0,0.00,0.9125,0.6250
9999740.0,4790.736476,13986.570658,18777.307134,57,0,0.00,0.9313,0.6375
9999867.0,4790.852121,13987.150625,18778.002746,58,0,0.00,0.9359,0.6500
10000483.0,4791.419033,13990.009892,18781.428925,59,0,0.00,0.9484,0.6625
